SMILES,Source
COc1ccccc1N1CCN(c2ccc(NC(=O)c3ccc(F)cc3)cc2C(=O)NC(C)C)CC1,Preprocessed
CC(C)CNS(=O)(=O)c1ccc(OCC(=O)Nc2cccc3ccccc23)c(Cl)c1,Preprocessed
CC(=O)Nc1c(C(=O)N2CCN(Cc3ccccc3)CC2)cnn1-c1ccccc1Cl,Preprocessed
CC(C)Nc1cccnc1N1CCN(C(=O)c2ccc(C(=O)Nc3ccccn3)cn2)CC1,Preprocessed
CS(=O)(=O)N(Cc1ccccc1Cl)c1ccc(C(=O)NCc2ccccn2)cc1,Preprocessed
Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)[C@H](C)Oc3ccc(Cl)cc3Cl)cc2)n1,Preprocessed
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1.COC(=O)Nc1nc2ccccc2[nH]1,Preprocessed
C[C@@H](n1cnc2c(Cl)cc(Cl)cc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Preprocessed
CN(C)C(=O)c1cccc(N(Cc2ccc(F)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,Preprocessed
COCCNC(=O)CN(C(=O)CCC(=O)Nc1ccccn1)c1ccc(F)c(Cl)c1,Preprocessed
COc1ccc(C2CC(=O)c3cnc(NC(=O)c4cc(OC)cc(OC)c4)nc3C2)cc1,Preprocessed
CC(C)NC(=O)c1cc(NC(=O)c2ccc(Cl)cc2)ccc1N1CCc2ccccc2C1,Preprocessed
CC(C)Oc1ccc(C(=O)Nc2sc3c(c2C(=O)NCc2cccnc2)CCCC3)cc1,Preprocessed
CCOc1cc(C(=O)Nc2nnc(C3CCCCC3)s2)cc(OCC)c1OCC,Preprocessed
CC1CCN(c2ccc(NC(=O)CCC3CCCC3)cc2C(=O)NC(C)C)CC1,Preprocessed
CC[C@@H](C)NC(=O)c1cc(NC(=O)c2cccc(OC)c2)ccc1N1CCCC1,Preprocessed
O=C(Nc1ccn(Cc2ccccc2)n1)c1cccc(COc2ccc(Cl)cc2)c1,Preprocessed
CCOc1ccc(NC(=O)c2ccc(N(Cc3ccccc3)S(C)(=O)=O)cc2)cc1,Preprocessed
CCOc1ccc(C(=O)Nc2ccccc2NC(=O)c2ccc(OCC)cc2)cc1,Preprocessed
COc1cc(C(=O)Nc2nnc(COc3ccc(Cl)cc3)s2)cc(OC)c1OC,Preprocessed
CCOc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(OCC)cc3)c2)cc1,Preprocessed
O=C(Cc1ccccc1)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,Preprocessed
COc1cc(C(=O)Nc2ccccc2F)ccc1OCc1ccc(Cl)cc1,Preprocessed
Cc1ccc(C(=O)Nc2ccc(-c3nnc(SCc4ccccc4F)n3C)cc2)cc1,Preprocessed
Cc1cccc(NC(=O)c2ccc(Cl)c(NC(=O)[C@H](C)Oc3ccccc3)c2)c1C,Preprocessed
COc1ccc(C(=O)Nc2ccc(-n3nc(OC(C)C)nc3-c3ccccc3C)cc2)cc1,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(=O)N3CCCC3)c2)c1,Preprocessed
O=C(Nc1ccc(N2CCCC2)c(C(=O)N2CCCCC2)c1)c1ccc(Cl)cc1,Preprocessed
COc1ccc(C(=O)Nc2ccc(N3CCN(C(=O)c4ccccc4C)CC3)cc2)cc1,Preprocessed
Cc1ccc(Oc2ccc(-c3cc(=O)c4cc(S(=O)(=O)F)ccc4[nH]3)cc2)cc1,Preprocessed
CCOc1ccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)cc1,Preprocessed
CS(=O)(=O)N(CC(=O)NCc1ccccc1)c1ccc(Oc2ccccc2)cc1,Preprocessed
O=S(=O)(c1ccc(Oc2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1)N1CCCCC1,Preprocessed
CCOc1ccc(N([C@H](C)C(=O)Nc2ccc(Br)c(C)c2)S(C)(=O)=O)cc1,Preprocessed
Cc1ccc(O[C@H](C)C(=O)Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)cc1,Preprocessed
COc1ccc(OCC(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)cc1,Preprocessed
CS(=O)(=O)c1ccc2nc(NC(=O)COc3ccccc3Cl)sc2c1,Preprocessed
COc1cc2c(cc1NC(=O)c1ccccc1)c1c(n2S(=O)(=O)c2ccccc2)CCN(S(=O)(=O)c2ccccc2)C1,Preprocessed
CCOc1ccc(NS(=O)(=O)c2ccc(NC(=O)c3cccc(N([O])=O)c3)cc2)cc1,Preprocessed
Cc1ccc(S(=O)(=O)N[C@@H](C(=O)Oc2ccc3c(C)cc(=O)oc3c2)C(C)C)cc1,Preprocessed
CCC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2ccc(=O)oc2c1,Preprocessed
Cc1ccc(S(=O)(=O)N[C@@H](C)C(=O)Oc2cc3oc(=O)cc(C)c3cc2Cl)cc1,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc(-n3nc(OC)nc3-c3ccc(C)cc3)cc2)c1,Preprocessed
Cc1ccc(O[C@@H](C)C(=O)Nc2ccc(NC(=O)[C@@H](C)Oc3ccc(C)cc3)cc2)cc1,Preprocessed
Cc1ccc(OCC(=O)Nc2ccc(S(=O)(=O)Nc3c(C)cc(C)cc3C)cc2)cc1,Preprocessed
COc1cc(C(=O)Nc2ccc(S(=O)(=O)Nc3cc(C)cc(C)c3)cc2)cc(OC)c1OC,Preprocessed
Cc1ccc(NC(=O)c2cccc(S(=O)(=O)Nc3ccc(Br)cc3)c2)cc1,Preprocessed
Cc1ccccc1-c1nc(OC(C)C)nn1-c1ccc(NC(=O)c2cccc(F)c2)cc1,Preprocessed
COc1cc(OC)cc(C(=O)Nc2ccc3oc(-c4cccc(Br)c4)nc3c2)c1,Preprocessed
Cc1ccc(C(=O)Nc2ccccc2)cc1S(=O)(=O)Nc1ccc(C(=O)O)cc1,Preprocessed
CCOc1ccc(NC(=O)CSc2nc(O)c(CCC(C)C)c(=O)[nH]2)cc1,Preprocessed
CC(=O)CC(C)=O.CC(=O)CC(C)=O.CC(C)c1ncc[nH]1.[Co].[O]N=O,Preprocessed
